,f1_micro_mean_test,f1_micro_mean_train,f1_micro_std_train,max_feature,min_samples_leaf,min_samples_split,n_estimators,time
0,0.5546153846153846,0.6384345019379197,0.01150224240238199,2.0,2.0,2.0,100.0,-12.208384000000024
1,0.5438461538461539,0.6465116605329997,0.016716012610112695,2.0,2.0,2.0,500.0,-61.69096400000001
2,0.55,0.6424727503825359,0.015952726789206163,2.0,2.0,2.0,900.0,-110.66667699999999
3,0.5307692307692308,0.6280538702681314,0.0060380050082415836,8.0,2.0,2.0,100.0,-33.168439000000035
4,0.5315384615384615,0.633823107868479,0.00664546922159498,8.0,2.0,2.0,500.0,-167.974514
5,0.5407692307692308,0.6326609324725464,0.011673226340497707,8.0,2.0,2.0,900.0,-300.27420700000005
6,0.5061538461538462,0.5866762764052532,0.008873259586833717,13.0,2.0,2.0,100.0,-50.7870089999999
7,0.5215384615384615,0.6159304688984851,0.0018640280072277657,13.0,2.0,2.0,500.0,-256.96823500000005
8,0.5315384615384615,0.6230431277429936,0.008176310482907337,13.0,2.0,2.0,900.0,-468.77051200000005
9,0.553076923076923,0.6359319060569026,0.011298321528664954,2.0,4.0,2.0,100.0,-9.523395000000164
10,0.5484615384615384,0.6451680225673497,0.015141396020436546,2.0,4.0,2.0,500.0,-45.53049499999997
11,0.5484615384615384,0.6399725961448016,0.012935533386327623,2.0,4.0,2.0,900.0,-84.89025900000024
12,0.5438461538461539,0.6322866833147242,0.009031050656581137,8.0,4.0,2.0,100.0,-26.87262699999974
13,0.5453846153846154,0.6324669231392367,0.01353226322994379,8.0,4.0,2.0,500.0,-137.62476799999968
14,0.5407692307692308,0.6395851288997221,0.014042076594840658,8.0,4.0,2.0,900.0,-250.36866599999985
15,0.5246153846153846,0.6014979353302822,0.0027430432192936697,13.0,4.0,2.0,100.0,-41.75002199999972
16,0.5430769230769231,0.6249648003907246,0.010069516459624835,13.0,4.0,2.0,500.0,-212.13362599999982
17,0.5376923076923077,0.6309306050226628,0.010507157477986685,13.0,4.0,2.0,900.0,-379.3239060000001
18,0.5576923076923077,0.6247783461736969,0.010371817529163808,2.0,8.0,2.0,100.0,-6.873610999999983
19,0.5553846153846154,0.6374754388190172,0.007347311263992831,2.0,8.0,2.0,500.0,-34.51730799999996
20,0.556923076923077,0.6374692225029386,0.013048886550909305,2.0,8.0,2.0,900.0,-62.89252299999998
21,0.5538461538461539,0.6203470797208971,0.010545528114335958,8.0,8.0,2.0,100.0,-19.046410999999807
22,0.5423076923076923,0.6280448737615922,0.00911035723932305,8.0,8.0,2.0,500.0,-96.66920500000015
23,0.54,0.6322791262748785,0.007768835394807682,8.0,8.0,2.0,900.0,-176.50632300000007
24,0.5176923076923077,0.6051443865883561,0.01078501214047488,13.0,8.0,2.0,100.0,-29.31230000000005
25,0.5330769230769231,0.6218825059451899,0.012816145220115628,13.0,8.0,2.0,500.0,-119.49628299999995
26,0.5323076923076923,0.6232304719287387,0.011561044338432065,13.0,8.0,2.0,900.0,-189.84680000000026
27,0.5453846153846154,0.6411279999559888,0.013547675690468074,2.0,2.0,4.0,100.0,-7.76080600000023
28,0.5576923076923077,0.6463202031272809,0.015539959524813863,2.0,2.0,4.0,500.0,-39.41575399999965
29,0.5546153846153846,0.6443936433458571,0.016471720395432602,2.0,2.0,4.0,900.0,-71.31125100000008
30,0.5361538461538462,0.621507477102958,0.005374752370199495,8.0,2.0,4.0,100.0,-21.142875999999887
