,depth,f1_micro_mean_test,f1_micro_mean_train,f1_micro_std_train,max_feature,min_samples_leaf,min_samples_split,n_estimators,time
0,,0.5330769230769231,0.640184701081244,0.006743833903597464,2.0,2.0,2.0,100.0,-3.297474999999963
1,,0.5407692307692308,0.6476928118829649,0.0101368448686628,2.0,2.0,2.0,300.0,-9.927291999999966
2,,0.546923076923077,0.6424969481703121,0.009240352490793247,2.0,2.0,2.0,500.0,-16.588833000000022
3,,0.54,0.6434582265931912,0.008598489518185263,2.0,2.0,2.0,700.0,-24.06558700000005
4,,0.5415384615384615,0.6444210624613259,0.009142423534635517,2.0,2.0,2.0,800.0,-27.145916000000057
5,,0.5430769230769231,0.6440379270812723,0.010581167523267975,2.0,2.0,2.0,900.0,-29.023371999999995
6,,0.5407692307692308,0.6428755291931604,0.003958117675106553,2.0,2.0,2.0,100.0,-6.219674999999938
7,,0.5430769230769231,0.6436481246300908,0.008427633332168904,2.0,2.0,2.0,300.0,-19.366941999999995
8,,0.55,0.6444203949847878,0.008757861385220144,2.0,2.0,2.0,500.0,-32.068757000000005
9,,0.5484615384615384,0.6473035704711406,0.006191742585270922,2.0,2.0,2.0,700.0,-44.30114500000002
10,,0.5438461538461539,0.6467240905516753,0.005706767234404835,2.0,2.0,2.0,800.0,-50.528632000000016
11,,0.5430769230769231,0.6463407326794423,0.0069920543203574135,2.0,2.0,2.0,900.0,-60.22779799999989
12,,0.5292307692307693,0.6390270742718264,0.00438442510957468,4.0,2.0,2.0,100.0,-3.1503609999999753
13,,0.5361538461538462,0.6444172858649667,0.006188456465812449,4.0,2.0,2.0,300.0,-9.91626199999996
14,,0.5430769230769231,0.6428797488503148,0.007494251513490424,4.0,2.0,2.0,500.0,-18.19507200000021
15,,0.536923076923077,0.6417254555764612,0.007968606133954672,4.0,2.0,2.0,700.0,-25.30743499999994
16,,0.5353846153846153,0.6451909976099209,0.009353686574632621,4.0,2.0,2.0,800.0,-22.746824999999944
17,,0.5353846153846153,0.6448056411552004,0.008935874494823212,4.0,2.0,2.0,900.0,-26.279581000000007
18,,0.5376923076923077,0.6490296821109965,0.0029005756969585346,4.0,2.0,2.0,100.0,-6.42487600000004
19,,0.54,0.6478847142730425,0.009321428645611614,4.0,2.0,2.0,300.0,-15.636254000000008
20,,0.5461538461538461,0.6465341925147757,0.006200562158683802,4.0,2.0,2.0,500.0,-28.938145000000077
21,,0.546923076923077,0.6486446545856362,0.0023896709628688784,4.0,2.0,2.0,700.0,-41.627490999999964
22,,0.5423076923076923,0.6459552678639773,0.005189620634714533,4.0,2.0,2.0,800.0,-42.67317600000001
23,,0.5484615384615384,0.6480722867216577,0.005275081289767212,4.0,2.0,2.0,900.0,-52.40857200000005
24,,0.5361538461538462,0.6432619961852145,0.00528983544087642,6.0,2.0,2.0,100.0,-3.370379999999841
25,,0.54,0.6409529685002754,0.005287098653682181,6.0,2.0,2.0,300.0,-9.81249200000002
26,,0.5361538461538462,0.6419190237725392,0.00863060099293664,6.0,2.0,2.0,500.0,-15.305370999999923
27,,0.5407692307692308,0.6432664364109849,0.009204140899562724,6.0,2.0,2.0,700.0,-22.398500999999897
28,,0.5407692307692308,0.6432647725285482,0.007628964995423631,6.0,2.0,2.0,800.0,-24.56022299999995
29,,0.5384615384615384,0.6423031574820549,0.008143442942893509,6.0,2.0,2.0,900.0,-29.410055000000057
30,,0.5430769230769231,0.6490283529286107,0.006219541459277586,6.0,2.0,2.0,100.0,-6.20732299999986
31,,0.5523076923076923,0.647877385496067,0.0032886116589978228,6.0,2.0,2.0,300.0,-18.795548000000053
32,,0.5438461538461539,0.6469162173574959,0.0038317248922377844,6.0,2.0,2.0,500.0,-29.51277099999993
33,,0.55,0.6488423321545608,0.005477862881149561,6.0,2.0,2.0,700.0,-33.39935800000012
34,,0.5415384615384615,0.64518433438592,0.0038669938123279428,6.0,2.0,2.0,800.0,-46.886923000000024
35,,0.5453846153846154,0.6498036086538762,0.006080949594102415,6.0,2.0,2.0,900.0,-52.05764999999997
36,,0.5438461538461539,0.6411519752515858,0.010886677740874522,8.0,2.0,2.0,100.0,-2.8156260000000657
37,,0.5484615384615384,0.6438428052870656,0.008409463230702597,8.0,2.0,2.0,300.0,-8.120641999999862
38,,0.5407692307692308,0.6451939964454342,0.01187922363463235,8.0,2.0,2.0,500.0,-13.323669999999993
39,,0.5353846153846153,0.6446147390181484,0.010298036043889295,8.0,2.0,2.0,700.0,-22.61228200000005
40,,0.54,0.6442257200985034,0.006667704944539978,8.0,2.0,2.0,800.0,-26.64674799999989
41,,0.5392307692307692,0.6449963208000732,0.007449405075276318,8.0,2.0,2.0,900.0,-27.869458000000122
42,,0.5407692307692308,0.6467194316808524,0.0013059823071113466,8.0,2.0,2.0,100.0,-5.793868999999631
43,,0.5484615384615384,0.6469196554066773,0.008022076818841086,8.0,2.0,2.0,300.0,-17.749358999999913
44,,0.54,0.6474949156689881,0.005463193944892743,8.0,2.0,2.0,500.0,-29.30207500000006
45,,0.5453846153846154,0.6492224667755377,0.00257904130850997,8.0,2.0,2.0,700.0,-42.240052000000105
46,,0.54,0.6467245393831612,0.00455590538124486,8.0,2.0,2.0,800.0,-48.70311100000026
47,,0.5415384615384615,0.6486497642115084,0.005342062712894492,8.0,2.0,2.0,900.0,-54.77071999999998
48,,0.5461538461538461,0.6419168007743087,0.007230609183279487,10.0,2.0,2.0,100.0,-2.8791879999998855
49,,0.5423076923076923,0.6426898488898519,0.009723094237694938,10.0,2.0,2.0,300.0,-9.997871000000032
50,,0.5423076923076923,0.6449966535765604,0.007754523719949821,10.0,2.0,2.0,500.0,-15.25610400000005
51,,0.54,0.64423093808512,0.01109421997062672,10.0,2.0,2.0,700.0,-21.69481799999994
52,,0.5376923076923077,0.6436491287302433,0.007238424389788466,10.0,2.0,2.0,800.0,-24.6763490000003
53,,0.5361538461538462,0.6405732750165302,0.009650545581103159,10.0,2.0,2.0,900.0,-27.751214000000346
54,,0.5376923076923077,0.640950410801994,0.0051633066402965834,10.0,2.0,2.0,100.0,-6.396167999999761
55,,0.5438461538461539,0.6465319714401088,0.004324106482997607,10.0,2.0,2.0,300.0,-18.625676000000112
56,,0.5376923076923077,0.6480730625589404,0.00580435837081723,10.0,2.0,2.0,500.0,-29.089930000000095
57,,0.5392307692307692,0.6474931415022432,0.0035955974904401857,10.0,2.0,2.0,700.0,-36.45877299999984
58,,0.5423076923076923,0.6453768984818454,0.0056699324418168036,10.0,2.0,2.0,800.0,-45.51646099999971
59,,0.546923076923077,0.6461449472558244,0.003550154490630801,10.0,2.0,2.0,900.0,-50.47777099999985
60,,0.54,0.6403800415205031,0.00898658421261203,12.0,2.0,2.0,100.0,-3.0324789999999666
61,,0.5361538461538462,0.6457674786938732,0.008774897357020755,12.0,2.0,2.0,300.0,-9.259681999999884
62,,0.5423076923076923,0.646153494930878,0.01109041616222963,12.0,2.0,2.0,500.0,-13.663088000000243
63,,0.5407692307692308,0.6436543467168598,0.011732960049640095,12.0,2.0,2.0,700.0,-19.69300800000019
64,,0.5430769230769231,0.6417345662144357,0.015667382453363098,12.0,2.0,2.0,800.0,-23.376102000000174
65,,0.5415384615384615,0.6421090359408737,0.006711182249887616,12.0,2.0,2.0,900.0,-25.121496000000207
66,,0.5484615384615384,0.6478767180195287,0.003551588464463372,12.0,2.0,2.0,100.0,-6.04358400000001
67,,0.5407692307692308,0.6455742413507192,0.008593202459782526,12.0,2.0,2.0,300.0,-16.17870300000004
68,,0.5438461538461539,0.6465314142478785,0.004392228661444535,12.0,2.0,2.0,500.0,-29.634989000000132
69,,0.5423076923076923,0.6434556708184732,0.007101016511197245,12.0,2.0,2.0,700.0,-37.407106999999996
70,,0.5523076923076923,0.6480713948293766,0.005095102263028497,12.0,2.0,2.0,800.0,-49.26571899999999
